corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
wikipedia,Protestantism,by,appaiata,72,830.5492957746479,0.9587701775755653,-0.05609106258804647
wikipedia,Protestantism,was,appaiata,61,864.1166666666667,1.3067529166923808,0.16463277477446167
wikipedia,Protestantism,on,appaiata,40,1426.3589743589744,0.9597410678704874,0.10582201097354434
wikipedia,Protestantism,or,appaiata,39,1529.7368421052631,1.430663784039251,0.3245129086941392
wikipedia,Protestantism,for,appaiata,43,1386.404761904762,1.0178592590650004,0.00836646611330754
wikipedia,Protestantism,are,appaiata,37,1596.9166666666667,2.087975560117818,0.26334298260882494
wikipedia,Slavery,vocali,vocali,18451,3.251869918699187,0.5219368997928412,-0.6131395348057717
wikipedia,Slavery,spazio,spazio,9502,6.313756446689822,0.4622277490314717,-1.0665396723828935
wikipedia,Slavery,e,lettera,5999,10.002500833611204,0.8300592058272662,-0.3657713802670198
wikipedia,Slavery,a,lettera,4510,13.299179418939898,0.8561941704333909,-0.41387289631490776
wikipedia,Slavery,t,lettera,4102,14.62106803218727,0.8887654454600535,-0.25511076364521995
wikipedia,Slavery,n,lettera,3529,16.999149659863946,0.8756597683856517,-0.33857592863539915
wikipedia,Slavery,i,lettera,3451,17.38753623188406,0.900547852209235,-0.2945329345643526
wikipedia,Slavery,s,lettera,3445,17.406213704994194,0.9580918832195152,-0.198692231532771
wikipedia,Slavery,o,lettera,3244,18.494603761948813,0.9411469009042154,-0.279251739123239
wikipedia,Slavery,r,lettera,3206,18.709516380655227,0.8315339825925468,-0.3905751304923543
wikipedia,Slavery,l,lettera,2153,27.8796468401487,0.957761402098292,-0.09209442749578045
wikipedia,Slavery,h,lettera,2074,28.924746743849493,0.8703629150058241,-0.3154727079545203
wikipedia,Slavery,d,lettera,1847,32.44907908992416,0.8817530437762102,-0.21160294599317686
wikipedia,Slavery,c,lettera,1542,38.85788449059053,0.9327468298653502,-0.14350398640620682
wikipedia,Slavery,u,lettera,1247,48.0553772070626,0.9731698281061246,-0.19074347912711437
wikipedia,Slavery,m,lettera,1145,52.35489510489511,0.9670233065415522,-0.0760134850143789
wikipedia,Slavery,f,lettera,1044,57.45349952061361,1.0250177347489298,0.007776914389427757
wikipedia,Slavery,p,lettera,976,61.51179487179487,1.0266623856082915,0.10479638554783195
wikipedia,Slavery,v,lettera,819,73.23471882640587,0.8703059981599597,-0.30239572489787114
wikipedia,Slavery,y,lettera,819,73.32640586797066,1.0679505832148746,-0.0960220195528703
wikipedia,Slavery,b,lettera,755,79.43766578249337,1.0379788888538037,0.0056688581626785925
wikipedia,Slavery,the,funzione,760,79.0,1.0052043142780422,-0.5187172428203407
wikipedia,Slavery,of,funzione,378,158.93103448275863,1.0069838636743287,-0.2729806824503445
wikipedia,Slavery,in,funzione,362,165.90581717451525,1.1902152336583873,-0.12918222048127537
wikipedia,Slavery,and,funzione,302,198.1328903654485,0.8369644269902505,-0.43672305673429435
wikipedia,Slavery,to,funzione,240,248.88702928870293,1.0180562117141194,-0.1996396822431106
wikipedia,Slavery,as,funzione,156,381.6709677419355,1.3410635464155591,0.14831778338904222
wikipedia,Slavery,slavery,keyword,151,391.18666666666667,1.3194020740309937,-0.007820757795156673
wikipedia,Slavery,slaves,keyword,135,436.5074626865672,1.0430798384057396,-0.14829939954024138
wikipedia,Slavery,slave,keyword,106,558.6095238095238,1.3849569338231682,0.130639775154764
wikipedia,Slavery,labour,keyword,46,1221.0444444444445,1.403221782415239,0.3199263192572627
wikipedia,Slavery,trade,keyword,41,960.4,1.7207462201881383,0.23382565621415852
wikipedia,Slavery,african,keyword,39,1253.6052631578948,1.6458505069812626,-0.03585692817292417
wikipedia,Slavery,africa,keyword,33,1367.59375,1.3745706878055093,0.18150140863209654
wikipedia,Slavery,were,appaiata,118,507.05128205128204,1.302387711342481,0.033117812356951735
